aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
4e8115b5-3e5b-439c-867b-a876befcdea4,2026-05-09 19:25:24.958503+00:00,30.0,33.0,35.0,20.0,,37.0,30.0,,2,,4.999999999999996,1.9999999999999958,,30.0,30.5,34.0,20.0
4e8115b5-3e5b-439c-867b-a876befcdea4,2026-05-09 19:28:04.447139+00:00,,37.0,30.0,,30.0,33.0,33.0,22.0,3,,4.499999999999999,-1.4999999999999931,,30.0,32.666666666666664,32.666666666666664,20.0
4e8115b5-3e5b-439c-867b-a876befcdea4,2026-06-14 14:44:49.677234+00:00,30.0,33.0,33.0,22.0,22.0,39.0,30.0,20.0,4,-1.6239695141939146e-15,1.8999999999999952,-0.5000000000000009,1.999999999999998,30.0,34.333333333333336,32.666666666666664,21.0
4e8115b5-3e5b-439c-867b-a876befcdea4,2026-06-14 14:52:45.410645+00:00,22.0,39.0,30.0,20.0,,38.0,24.0,,5,-4.000000000000001,2.1999999999999926,-0.8000000000000025,8.95767371512989e-16,26.0,36.333333333333336,31.0,21.0
53f74b3a-3973-4af8-a567-55ce939243ac,2026-04-02 18:02:27.756899+00:00,30.5,31.5,32.75,21.0,33.0,35.0,34.0,26.0,1,,,,,30.5,31.5,32.75,21.0
53f74b3a-3973-4af8-a567-55ce939243ac,2026-04-25 03:50:20.790387+00:00,33.0,35.0,34.0,26.0,36.0,28.0,31.0,31.0,2,2.499999999999998,3.4999999999999933,1.2499999999999942,4.999999999999996,31.75,33.25,33.375,23.5
53f74b3a-3973-4af8-a567-55ce939243ac,2026-05-02 16:22:56.848829+00:00,36.0,28.0,31.0,31.0,,34.0,31.0,,3,2.7499999999999987,-1.7499999999999956,-0.8749999999999999,5.000000000000001,33.166666666666664,31.5,32.583333333333336,26.0
53f74b3a-3973-4af8-a567-55ce939243ac,2026-05-16 02:41:14.703958+00:00,,34.0,31.0,,25.0,37.0,32.0,22.0,4,2.7499999999999987,0.049999999999998115,-0.8250000000000008,5.000000000000001,34.5,32.333333333333336,32.0,28.5
53f74b3a-3973-4af8-a567-55ce939243ac,2026-05-18 23:43:23.065687+00:00,25.0,37.0,32.0,22.0,,34.0,35.0,,5,-1.35,0.9999999999999989,-0.4500000000000056,0.800000000000001,30.5,33.0,31.333333333333332,26.5
53f74b3a-3973-4af8-a567-55ce939243ac,2026-05-30 17:58:02.800330+00:00,,34.0,35.0,,35.0,38.0,41.0,26.0,6,-1.35,0.6999999999999981,0.14999999999999927,0.800000000000001,25.0,35.0,32.666666666666664,22.0
58d56284-c5de-4e5a-beff-b81975b6c09a,2026-04-02 18:02:51.119169+00:00,25.33333333333333,32.666666666666664,31.33333333333333,28.666666666666668,31.0,33.0,36.0,20.0,1,,,,,25.33333333333333,32.666666666666664,31.33333333333333,28.666666666666668
58d56284-c5de-4e5a-beff-b81975b6c09a,2026-04-12 17:06:08.345728+00:00,31.0,33.0,36.0,20.0,27.0,34.0,36.0,20.0,2,5.666666666666669,0.333333333333335,4.666666666666669,-8.666666666666666,28.166666666666664,32.83333333333333,33.666666666666664,24.333333333333336
58d56284-c5de-4e5a-beff-b81975b6c09a,2026-05-12 17:13:33.316760+00:00,27.0,34.0,36.0,20.0,32.0,33.0,36.0,28.0,3,0.8333333333333366,0.6666666666666643,2.3333333333333366,-4.333333333333331,27.777777777777775,33.22222222222222,34.44444444444444,22.88888888888889
58d56284-c5de-4e5a-beff-b81975b6c09a,2026-05-24 00:11:58.767728+00:00,32.0,33.0,36.0,28.0,20.0,37.0,34.0,20.0,4,1.6000000000000014,0.20000000000000207,1.4000000000000004,-0.2000000000000039,30.0,33.333333333333336,36.0,22.666666666666668
